patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quý ông Quang Lê,814322077864,year:1954,0738398369,jane53@example.net,"245 John Làng, Thành phố JaneThị xã, 362577",Khoe manh,5.37,Bà Thảo Dương,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Ông Thành Phạm,406728058439,year:1948,0778300831,buijane@example.com,"JaneThành phố, 507 Lê Khu, 262810",Khoe manh,4.17,Ông Quang Lê,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Hương Lê,938170516769,year:1963,0549950872,johnpham@example.com,"77 Nguyễn Hẻm, JohnHuyện, 240974",Tieu duong,8.68,Bảo Đức Mai,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Chị An Vũ,251178172989,year:1968,0531187471,fhoang@example.com,"044 Jane Khu, JaneHuyện, 116302",Khoe manh,6.86,Chị Thành Hoàng,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,Hưng Bảo Mai,264619110819,year:1971,0328424596,nguyenjohn@example.net,"206 John Tổ, JaneThành phố, 798745",Huyet ap cao,10.23,Hương Hoàng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Chị Thảo Mai,816174642947,year:1968,0767609608,johnmai@example.net,"2 John Ngõ, Thị xã JohnXã, 723440",Tim mach,11.76,Anh Anh Lê,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Quý cô Lâm Nguyễn,087526926411,year:1938,0820903826,maijane@example.net,"35 Vũ Ngõ, Thành phố JohnXã, 731822",Tieu duong,5.55,Lâm Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Yến Đặng,633749699397,year:1942,0520035381,epham@example.org,"7 Đặng Số, JohnQuận, 711379",Khoe manh,4.53,Huy Đặng,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Kim Vũ,008038842646,year:2000,0351780224,xmai@example.com,"3 Jane Hẻm, JaneHuyện, 330446",Huyet ap cao,8.08,Quý cô Duyên Phạm,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Bà Dương Dương,502607975932,year:1960,0832534909,janevu@example.com,"48 John Số, JaneThành phố, 138513",Khoe manh,4.69,Mai Trần,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Khoa Trần,624276084397,year:1948,0359881303,john93@example.net,"44 Jane Ngõ, Huyện JaneThị xã, 258694",Khoe manh,3.52,Cô Thảo Vũ,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Nhật Phạm,614158474986,year:2001,0381922071,jane46@example.net,"4 John Hẻm, Thị xã JanePhường, 941115",Huyet ap cao,3.98,Ngọc Hoàng,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Bác Hoàng Bùi,326736308912,year:1963,0711992293,dangjane@example.com,"0 Jane Khu, JaneThành phố, 534866",Tim mach,5.24,Bảo Trần,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Quý cô Dương Hoàng,406804139585,year:1965,0304918078,mduong@example.org,"38 John Khu, JohnThành phố, 111112",Tieu duong,10.97,Cô Vi Bùi,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Bà Hồng Dương,239897036860,year:1994,0578977798,vujane@example.net,"7 Jane Ngõ, JaneQuận, 599419",Huyet ap cao,9.6,Dương Nguyễn,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Quang Mai Bảo Nguyễn,577575381612,year:1961,0588173976,janeduong@example.com,"6 Jane Tổ, Quận JohnQuận, 936816",Tieu duong,11.53,Bác Tùng Hoàng,02/02/2026
83f4a9a9-48a6-49d0-95b5-2908a8aa7158,Minh Văn Hoàng,886950829699,year:1965,0539026430,inguyen@example.org,"936 John Khu, Quận JaneThành phố, 467520",Huyet ap cao,11.37,Bảo Bùi,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Dương Nguyễn,980321178523,year:1951,0318741241,johnmai@example.org,"86 John Ngõ, JaneThành phố, 613799",Huyet ap cao,3.7,Quý cô Khoa Bùi,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Quý cô Kim Dương,683220805211,year:1967,0551093765,mnguyen@example.com,"02 Jane Đường, Quận JanePhường, 800729",Tim mach,9.69,Minh Thị Vũ,04/01/2026
9360715f-c3fe-4183-a172-b725db52ca58,Hải Vũ,545715784879,year:1976,0871717525,janedang@example.com,"447 Jane Dãy, Huyện JohnThị xã, 294166",Tieu duong,9.62,Bà Ánh Đặng,25/01/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Trung Phạm,554087340548,year:1993,0978235578,johnhoang@example.net,"03 Mai Dãy, JohnPhường, 517906",Huyet ap cao,7.15,Cô Vi Hoàng,07/05/2026
a6d964a3-f510-4b53-87fe-e39f1190f938,Quý cô Hạnh Phạm,237301991798,year:1969,0708003923,gtran@example.org,"58 Hoàng Hẻm, Thị xã JaneXã, 372692",Huyet ap cao,11.86,Chị Hồng Nguyễn,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Châu Bùi,224412586000,year:1968,0545882769,vujohn@example.net,"25 John Ngõ, Quận JaneXã, 156426",Khoe manh,4.63,Bà Hương Phạm,04/02/2026
